Data,Categoria,Descrição,Valor (R$)
2025-02-12,Alimentação,SUPERMERCADO LOCAL,-40.17
2025-02-12,Lazer e compras,AMAZON BR,-69.18
2025-02-12,Outros,SEGURO CARTAO,-8.11
2025-02-13,Alimentação,SUPERMERCADO LOCAL,-15.18
2025-02-14,Lazer e compras,EBN *CRUNCHYROLL,-14.99
2025-02-15,Alimentação,SUPERMERCADO LOCAL,-110.42
2025-02-16,Alimentação,SUPERMERCADO LOCAL,-48.8
2025-02-17,Alimentação,IFOOD *IFOOD,-31.4
2025-02-17,Alimentação,SUPERMERCADO LOCAL,-35.3
2025-02-17,Outros,PIX TRANSF,-800
2025-02-17,Transporte,UBER*PENDING,-22.18
2025-02-18,Saúde,SUA ACADEMIA,-139.9
2025-02-18,Transporte,UBER*PENDING,-30.15
2025-02-19,Lazer e compras,HUB*KABUM,-141.58
2025-02-20,Alimentação,IFD*RESTAURANTE LOCAL,-36.31
2025-02-20,Transporte,UBER *PENDING,-11.96
2025-02-20,Transporte,UBER*PENDING,-17.96
2025-02-21,Alimentação,EVENTO ESPORTIVO,-60
2025-02-21,Alimentação,SUPERMERCADO LOCAL,-37.14
2025-02-21,Alimentação,SUPERMERCADO LOCAL,-24.86
2025-02-23,Alimentação,BAR COORDENADAS,-129.4
2025-02-24,Alimentação,BAR LOCAL,-83
2025-02-25,Alimentação,PANIF UNIAO LTDA,-14.49
2025-02-25,Alimentação,SUPERMERCADO LOCAL,-148.44
2025-02-26,Receita,CREDITO SALARIO,8361.47
2025-02-27,Lazer e compras,NETFLIX ENTRETENIMENTO,-44.9
2025-02-28,Alimentação,IFD*RESTAURANTE LOCAL,-36.31
2025-02-28,Alimentação,SUPERMERCADO LOCAL,-63.32
2025-02-28,Moradia,PIX QRS LIGHT SERVI,-109.47
2025-02-28,Moradia,PIX QRS TELEFONICA,-203.56
2025-03-01,Alimentação,IFD*COZENDEI CARNEVALE CO,-29.18
2025-03-01,Alimentação,SUPERMERCADO LOCAL,-58.73
2025-03-01,Educação,EBN *CAMBLY,-69
2025-03-01,Lazer e compras,AMAZON BR,-67.09
2025-03-01,Lazer e compras,DL*ALIPAY MAGAZI,-109.61
2025-03-01,Lazer e compras,MAGAZINELUIZA,-49.34
2025-03-01,Saúde,PIX DROGARIA LOCAL,-25.8
2025-03-01,Transporte,UBER *PENDING,-58.93
2025-03-01,Transporte,UBER *PENDING,-12.95
2025-03-01,Transporte,UBER*TRIP,-39.13
2025-03-02,Transporte,UBER*PENDING,-27.89
2025-03-03,Alimentação,CASA BRASIL,-130.9
2025-03-03,Lazer e compras,AMAZON BR,-69.18
2025-03-03,Transporte,PIX TRANSPORTE PUBLICO,-29
2025-03-05,Lazer e compras,DL*ALIPAY ALIPAY,-208.49
2025-03-05,Moradia,PAGAMENTO ALUGUEL,-2395.35
2025-03-06,Alimentação,IFD*RESTAURANTE LOCAL,-36.31
2025-03-06,Alimentação,TEMAKITOWN COMERC,-42.9
2025-03-06,Transporte,UBER*TRIP,-23.11
2025-03-07,Alimentação,MERCADOLIVRE*FITHOUSE,-81.76
2025-03-07,Alimentação,SUPERMERCADO LOCAL,-139.18
2025-03-07,Alimentação,SUPERMERCADO LOCAL,-88.83
2025-03-07,Lazer e compras,MAGAZINELUIZA,-49.34
2025-03-08,Alimentação,CHAVEPREZUNIC,-10
2025-03-08,Lazer e compras,AMAZON BR,-67.09
2025-03-08,Lazer e compras,CINEMARK,-67.5
2025-03-09,Alimentação,IFD*IFOOD CLUB,-5.95
2025-03-09,Alimentação,SUPERMERCADO LOCAL,-52
2025-03-09,Moradia,PAGAMENTO ALUGUEL,-90
2025-03-10,Outros,SEGURO CARTAO,-8.11
2025-03-11,Alimentação,SUPERMERCADO LOCAL,-30.51
2025-03-11,Moradia,PIX TRANSF,-1000
2025-03-12,Alimentação,IFD*RESTAURANTE LOCAL,-36.31
2025-03-12,Moradia,PIX QRS TELEFONICA,-67.72
2025-03-13,Moradia,PIX ESPORTE,-130
2025-03-13,Transporte,UBER *PENDING,-13.92
2025-03-14,Alimentação,PAO DE ACUCAR,-8.96
2025-03-14,Alimentação,SUPERMERCADO LOCAL,-7.29
2025-03-14,Alimentação,THE BOUA,-111.21
2025-03-14,Lazer e compras,AVIATOR,-116
2025-03-14,Lazer e compras,EBN *CRUNCHYROLL,-14.99
2025-03-14,Lazer e compras,EC *SAMSUNG,-170.75
2025-03-14,Transporte,UBER *PENDING,-12.95
2025-03-15,Alimentação,SUPERMERCADO LOCAL,-81.68
2025-03-15,Lazer e compras,HUB*KABUM,-141.58
2025-03-16,Alimentação,PANIF UNIAO LTDA,-10.37
2025-03-16,Alimentação,SUPERMERCADO LOCAL,-67.69
2025-03-16,Outros,AMAZON MARKETPLACE,-143.65
2025-03-18,Alimentação,IFD*COZENDEI CARNEVALE CO,-29.18
2025-03-18,Alimentação,SUPERMERCADO LOCAL,-118.51
2025-03-18,Lazer e compras,AVIATOR,-116
2025-03-19,Transporte,UBER *PENDING,-20.93
2025-03-20,Transporte,TRANSPORTE PUBLICO,-170
2025-03-20,Transporte,UBER*PENDING,-42.98
2025-03-21,Alimentação,TENEZ,-12
2025-03-22,Alimentação,HORTIFRUTI,-95.97
2025-03-22,Alimentação,SUPERMERCADO LOCAL,-81.9
2025-03-22,Alimentação,SUPERMERCADO LOCAL,-81.24
2025-03-22,Transporte,UBER *PENDING,-18.93
2025-03-23,Lazer e compras,AMAZON BR,-19.9
2025-03-24,Saúde,SUA ACADEMIA,-139.9
2025-03-24,Transporte,UBER *PENDING,-13.3
2025-03-25,Alimentação,PAO DE ACUCAR,-12.55
2025-03-25,Alimentação,SUPERMERCADO LOCAL,-69.56
2025-03-26,Alimentação,SUPERMERCADO LOCAL,-41.82
2025-03-26,Outros,MP*GROWTHSUPPLEMENTS,-429.67
2025-03-27,Alimentação,SUPERMERCADO LOCAL,-86.45
2025-03-28,Alimentação,AMAZON BR,-24.49
2025-03-28,Alimentação,SUPERMERCADO LOCAL,-6.74
2025-03-28,Lazer e compras,AMAZON BR,-78
2025-03-28,Transporte,UBER*PENDING,-31.99
2025-03-29,Receita,CREDITO SALARIO,8295.28
2025-03-30,Alimentação,IFD*RESTAURANTE LOCAL,-37.63
2025-03-31,Lazer e compras,NETFLIX.COM,-44.9
2025-04-02,Alimentação,SUPERMERCADO LOCAL,-111.53
2025-04-02,Educação,EBN *CAMBLY,-69
2025-04-04,Alimentação,IFD*RESTAURANTE ATRIUM LT,-41.9
2025-04-04,Alimentação,PAO DE ACUCAR,-12.12
2025-04-05,Alimentação,SUPERMERCADO LOCAL,-50.53
2025-04-05,Moradia,PIX IMOBILIARIA,-2440.2
2025-04-05,Transporte,PBADMINISTRADORA,-10.5
2025-04-05,Transporte,UBER*PENDING,-9.91
2025-04-06,Alimentação,IFD*RESTAURANTE LOCAL,-37.63
2025-04-06,Transporte,UBER *PENDING,-43.96
2025-04-06,Transporte,UBER *PENDING,-41.96
2025-04-07,Lazer e compras,AMAZON BR,-67.09
2025-04-07,Lazer e compras,MAGAZINELUIZA,-49.34
2025-04-07,Moradia,PIX QRS TELEFONICA,-154.11
2025-04-07,Outros,SEGURO CARTAO,-8.11
2025-04-08,Alimentação,IFD*IFOOD CLUB,-5.95
2025-04-09,Saúde,PAGAMENTO,-850
2025-04-09,Transporte,UBER*PENDING,-42.92
2025-04-09,Transporte,UBER*TRIP,-14.96
2025-04-10,Lazer e compras,EBANX*CRUNCHYROLL,-14.99
2025-04-10,Saúde,DROGARIAS CRISTAL,-29.48
2025-04-11,Alimentação,IFD*COZENDEI CARNEVALE,-29.18
2025-04-11,Alimentação,SUPERMERCADO LOCAL,-159.3
2025-04-11,Alimentação,SUPERMERCADO LOCAL,-122.51
2025-04-11,Moradia,PIX QRS Cia. Distri,-69.56
2025-04-12,Saúde,PIX DROGARIA LOCAL,-9
2025-04-14,Lazer e compras,EC *SAMSUNG,-170.75
2025-04-14,Transporte,UBER*PENDING,-14.94
2025-04-15,Alimentação,IFOOD *IFD*CFC SILVA,-28.9
2025-04-16,Alimentação,SUPERMERCADO LOCAL,-72.13
2025-04-17,Alimentação,Transferência enviada pelo Pix,-17
2025-04-17,Alimentação,VIOLETA CAFE,-26.4
2025-04-18,Alimentação,SUPERMERCADO LOCAL,-140.57
2025-04-18,Transporte,UBER *PENDING,-44.95
2025-04-20,Lazer e compras,LOJAS AMERICANAS,-10.99
2025-04-20,Saúde,SUA ACADEMIA,-139.9
2025-04-21,Alimentação,IFD*RESTAURANTE LOCAL,-37.63
2025-04-21,Lazer e compras,IFD*DENGO CHOCOLATES S.A.,-117.69
2025-04-22,Saúde,DROGARIAS CRISTAL,-89.89
2025-04-22,Transporte,UBER*PENDING,-20.99
2025-04-23,Alimentação,SUPERMERCADO LOCAL,-137.25
2025-04-25,Alimentação,SUPERMERCADO LOCAL,-133.87
2025-04-26,Alimentação,IFOOD *IFD*ATLAM LAN,-33.89
2025-04-26,Moradia,PIX TRANSF,-500
2025-04-27,Alimentação,PANIF UNIAO LTDA,-15.44
2025-04-28,Alimentação,IFD*RESTAURANTE LOCAL,-37.63
2025-04-29,Moradia,PIX QRS LIGHT SERVI,-440.97
2025-04-30,Lazer e compras,MICROSOFT*STORE,-59.99
2025-04-30,Lazer e compras,NETFLIX.COM,-44.9
2025-04-30,Receita,CREDITO SALARIO,8534.51
2025-05-02,Alimentação,CASAS PEDRO,-31.99
2025-05-02,Alimentação,SUPERMERCADO LOCAL,-190.24
2025-05-02,Educação,EBN *CAMBLY,-69
2025-05-03,Alimentação,SUPERMERCADO LOCAL,-89.61
2025-05-03,Alimentação,SUPERMERCADO LOCAL,-79.54
2025-05-03,Moradia,PIX QRS TELEFONICA,-150
2025-05-04,Transporte,UBER *PENDING,-52.64
2025-05-05,Moradia,PIX IMOBILIARIA,-2425.65
2025-05-05,Transporte,ANCAR PARKING LTD,-35
2025-05-05,Transporte,UBER*PENDING,-39.97
2025-05-06,Moradia,PIX QRS LIGHT SERVI,-180.12
2025-05-07,Alimentação,IFD*IFOOD CLUB,-5.95
2025-05-07,Alimentação,SUPERMERCADO LOCAL,-75.89
2025-05-07,Outros,PIX QRS PORTOSEG SA,-694.69
2025-05-07,Outros,SEGURO CARTAO,-8.11
2025-05-08,Alimentação,IFD*RESTAURANTE LOCAL,-37.63
2025-05-08,Alimentação,SUPERMERCADO LOCAL,-103.94
2025-05-08,Outros,PIX TRANSF,-600
2025-05-09,Lazer e compras,AMAZON BR,-67.09
2025-05-10,Lazer e compras,MAGAZINELUIZA,-49.34
2025-05-10,Moradia,PIX QRS CIA. DISTRI,-69.56
2025-05-12,Lazer e compras,HOTEL RADISSON,-237.6
2025-05-13,Alimentação,SUPERMERCADO LOCAL,-68.08
2025-05-13,Lazer e compras,EBANX*CRUNCHYROLL,-14.99
2025-05-14,Alimentação,SUPERMERCADO LOCAL,-86.89
2025-05-14,Saúde,DROGARIAS CRISTAL,-32.9
2025-05-15,Alimentação,SUPERMERCADO LOCAL,-207.16
2025-05-15,Transporte,UBER*PENDING,-17.91
2025-05-16,Alimentação,IFD*RESTAURANTE LOCAL,-37.63
2025-05-16,Alimentação,MAD BREW TAP HOUSE,-77.84
2025-05-16,Alimentação,SUPERMERCADO LOCAL,-41.56
2025-05-17,Transporte,UBER*PENDING,-22.97
2025-05-18,Alimentação,IFD*FABRI FORNECIMENTO DE,-44.74
2025-05-18,Saúde,SUA ACADEMIA,-149.9
2025-05-19,Lazer e compras,AMAZON DIGITAL BR,-7.6
2025-05-19,Transporte,UBER*PENDING,-11.96
2025-05-19,Transporte,UBER*PENDING,-8.91
2025-05-20,Alimentação,SUPERMERCADO LOCAL,-97.75
2025-05-21,Alimentação,LIMA RESTAURANTE,-55.78
2025-05-21,Lazer e compras,AMAZON BR,-120.51
2025-05-21,Saúde,DROGARIAS CRISTAL,-31.98
2025-05-21,Transporte,UBER*PENDING,-17.9
2025-05-24,Lazer e compras,CINEMARK,-30.5
2025-05-24,Transporte,UBER*PENDING,-20.98
2025-05-25,Alimentação,IFD*CFC SILVA SANTOS C,-33.89
2025-05-25,Saúde,DROGARIAS CRISTAL,-4.91
2025-05-26,Alimentação,REI DO MATE,-8
2025-05-26,Transporte,UBER*PENDING,-18.92
2025-05-27,Alimentação,GRAN SAPORE,-16.47
2025-05-27,Alimentação,Transferência enviada pelo Pix,-16
2025-05-27,Alimentação,SUPERMERCADO LOCAL,-95.16
2025-05-27,Transporte,UBER*PENDING,-22.96
2025-05-28,Alimentação,IFD*RESTAURANTE LOCAL,-38.62
2025-05-29,Alimentação,IFD*SCFG RESTAURANTE LTDA,-42.88
2025-05-30,Alimentação,IFD*RESTAURANTE LOCAL,-36.42
2025-05-30,Receita,CREDITO SALARIO,8335.74
2025-05-31,Alimentação,SUPERMERCADO LOCAL,-185.37
2025-05-31,Alimentação,SUPERMERCADO LOCAL,-82.04
2025-05-31,Lazer e compras,NETFLIX ENTRETENIMENTO,-44.9
2025-05-31,Transporte,UBER *PENDING,-22.98
2025-06-01,Alimentação,GRAN SAPORE,-28.45
2025-06-01,Alimentação,SUPERMERCADO LOCAL,-17.21
2025-06-01,Educação,EBN *CAMBLY,-69
2025-06-01,Lazer e compras,MICROSOFT*ULTIMATE 1 MONT,-59.99
2025-06-03,Moradia,PIX IMOBILIARIA,-2480.9
2025-06-03,Moradia,PIX TRANSF,-750
2025-06-04,Moradia,INT /CEG,-70.14
2025-06-04,Transporte,PIX TRANSPORTE PUBLICO,-100
2025-06-04,Transporte,UBER *TRIP HELP.UBER.COM,-14.94
2025-06-05,Alimentação,GRAN SAPORE,-26.79
2025-06-05,Alimentação,SUPERMERCADO LOCAL,-81.36
2025-06-05,Alimentação,SUPERMERCADO LOCAL,-28.25
2025-06-06,Alimentação,IFD*IFOOD CLUB,-5.95
2025-06-06,Alimentação,PANIF UNIAO LTDA,-12.18
2025-06-06,Lazer e compras,PG *CASACORTILLA,-90.7
2025-06-06,Lazer e compras,PIX TRANSF BRM PAR,-1100
2025-06-06,Moradia,INT /VIVO,-150
2025-06-07,Alimentação,ZIG*BREWTECO,-38.3
2025-06-07,Alimentação,GRAN SAPORE,-34.85
2025-06-07,Alimentação,IFD*DUCADU BRASA BURGER L,-35.99
2025-06-07,Moradia,INT /LIGHT,-167.43
2025-06-08,Lazer e compras,SHOPEE *LOVELYPOINT,-68.75
2025-06-08,Outros,SEGURO CARTAO,-8.11
2025-06-09,Transporte,UBER*PENDING,-19.97
2025-06-10,Alimentação,ACM DE ALMEIDA RESTAUR,-72.16
2025-06-10,Alimentação,IFD*SENDAS DISTRIBUIDO,-481.53
2025-06-10,Alimentação,SUPERMERCADO LOCAL,-76.14
2025-06-10,Lazer e compras,AMAZON BR,-67.09
2025-06-10,Transporte,UBER*PENDING,-16.91
2025-06-11,Alimentação,IFD*RESTAURANTE LOCAL,-32.89
2025-06-12,Alimentação,BIBI,-36.08
2025-06-12,Lazer e compras,AMAZON BR,-49.8
2025-06-12,Lazer e compras,AMAZON BR,-48.38
2025-06-12,Lazer e compras,EBN *CRUNCHYROLL,-14.99
2025-06-12,Lazer e compras,EC *SAMSUNG,-170.75
2025-06-13,Alimentação,PANIF UNIAO LTDA,-11.88
2025-06-13,Alimentação,SUPERMERCADO LOCAL,-70.48
2025-06-14,Alimentação,IFD*DUCADU BRASA BURGER L,-88.98
2025-06-14,Lazer e compras,SHOPEE *DLHOME,-79.14
2025-06-14,Transporte,UBER *PENDING,-20.9
2025-06-15,Lazer e compras,SHOPEE *DLHOME,-79.14
2025-06-17,Alimentação,VIOLETA CAFE,-12
2025-06-17,Lazer e compras,Transferência enviada pelo Pix,-30
2025-06-19,Transporte,UBER*PENDING,-43.91
2025-06-20,Alimentação,REI DO MATE,-9
2025-06-20,Alimentação,SUPERMERCADO LOCAL,-48.64
2025-06-21,Alimentação,Transferência enviada pelo Pix,-10
2025-06-22,Lazer e compras,AMAZON BR,-179
2025-06-22,Saúde,SUA ACADEMIA,-149.9
2025-06-24,Alimentação,PANIF UNIAO LTDA,-14.14
2025-06-27,Alimentação,IFD*BAR E RESTAURANTE VER,-24.15
2025-06-27,Alimentação,IFD*DUCADU BRASA BURGER L,-29.49
2025-06-27,Alimentação,SUPERMERCADO LOCAL,-82.82
2025-06-27,Transporte,UBER*PENDING,-37.96
2025-06-29,Alimentação,IFD*COZENDEI CARNEVALE CO,-80.08
2025-06-29,Saúde,DROGARIAS CRISTAL,-29.88
2025-06-29,Transporte,INDIGO,-16
2025-06-30,Alimentação,RESTAURANTE LOCAL,-244.16
2025-06-30,Alimentação,SUPERMERCADO LOCAL,-103.91
2025-06-30,Lazer e compras,NETFLIX.COM,-44.9
2025-06-30,Receita,CREDITO SALARIO,8412.86
2025-07-01,Alimentação,SUPERMERCADO LOCAL,-46.66
2025-07-01,Outros,DROGARIAS MAX,-59.9
2025-07-02,Educação,EBN *CAMBLY,-69
2025-07-02,Lazer e compras,AMAZON BR,-47.51
2025-07-02,Lazer e compras,MICROSOFT*ULTIMATE 1 MONT,-59.99
2025-07-02,Saúde,DROGARIAS CRISTAL,-34.49
2025-07-02,Saúde,PIX DROGARIA LOCAL,-199
2025-07-03,Moradia,PIX IMOBILIARIA,-2515.3
2025-07-03,Transporte,UBER*PENDING,-17.25
2025-07-04,Alimentação,NESTLE BRASIL LTDA.,-4
2025-07-04,Alimentação,SUPERMERCADO LOCAL,-244.67
2025-07-04,Transporte,BRASIL PARK,-14
2025-07-04,Transporte,ESTACIONAMENTO SHOPPING,-17.5
2025-07-04,Transporte,UBER *TRIP HELP.UBER.COM,-23.57
2025-07-06,Alimentação,POISON DONUTS,-12.9
2025-07-06,Lazer e compras,PG *CASACORTILLA,-90.7
2025-07-06,Moradia,INT /LIGHT,-145.33
2025-07-06,Moradia,INT /VIVO,-150
2025-07-07,Outros,SEGURO CARTAO,-8.11
2025-07-07,Transporte,UBER*PENDING,-20.97
2025-07-08,Lazer e compras,SHOPEE *LOVELYPOINT,-68.75
2025-07-08,Outros,DROGARIAS PACHECO S.A. DR,-507.09
2025-07-08,Transporte,UBER *TRIP HELP.UBER.COM,-17.69
2025-07-09,Alimentação,IFD*IFOOD CLUB,-5.95
2025-07-09,Moradia,INT /CEG,-70.18
2025-07-10,Saúde,PIX DROGARIA LOCAL,-8
2025-07-11,Lazer e compras,AMAZON BR,-67.09
2025-07-11,Lazer e compras,EBN *CRUNCHYROLL,-14.99
2025-07-11,Transporte,UBER*PENDING,-12.93
2025-07-12,Alimentação,RODIZIO SUSHI,-167.99
2025-07-13,Alimentação,SUPERMERCADO LOCAL,-116.8
2025-07-13,Lazer e compras,OUTLET ECOMMERCE CM,-56.72
2025-07-14,Alimentação,PANIF UNIAO LTDA,-12.66
2025-07-14,Lazer e compras,EC *SAMSUNG,-170.75
2025-07-14,Lazer e compras,OUTLET ECOMMERCE CM,-56.71
2025-07-15,Outros,DROGARIAS MAX,-26.5
2025-07-16,Alimentação,UPPIZZABAREIRELI,-246.34
2025-07-17,Alimentação,BEER BEETLE,-18
2025-07-17,Alimentação,SUPERMERCADO LOCAL,-12.9
2025-07-17,Transporte,UBER *PENDING,-23.98
2025-07-18,Alimentação,NEKI NEKO,-30
2025-07-18,Transporte,UBER *PENDING,-28.97
2025-07-18,Transporte,UBER*PENDING,-26.92
2025-07-18,Transporte,UBER*PENDING,-20.92
2025-07-19,Alimentação,IFD*MESTER RAW RESTAURANT,-138.73
2025-07-19,Alimentação,IMAGAWAYAKI,-20
2025-07-19,Alimentação,PIADINA ROMAGNOLA,-58.3
2025-07-19,Alimentação,SNOWBALL,-42
2025-07-19,Transporte,UBER*PENDING,-39.6
2025-07-19,Transporte,UBER*PENDING,-21.95
2025-07-20,Alimentação,AD *RAPPA RAME,-32
2025-07-21,Alimentação,RESTAURANTE COREANO,-240.9
2025-07-21,Saúde,RAIA144,-29.09
2025-07-21,Transporte,UBER*PENDING,-20.94
2025-07-22,Alimentação,BY MADUREIRA SUCOS,-29.38
2025-07-22,Saúde,SUA ACADEMIA,-149.9
2025-07-22,Transporte,UBER*PENDING,-11.91
2025-07-23,Alimentação,PAS E FLORES PAES DOCE,-16.99
2025-07-23,Lazer e compras,AMAZON BR,-14.9
2025-07-24,Alimentação,IFD*SENDAS DISTRIBUIDO,-375.95
2025-07-24,Moradia,PAGAMENTO,-500
2025-07-24,Transporte,UBER*PENDING,-15.98
2025-07-25,Alimentação,SUPERMERCADO LOCAL,-69.68
2025-07-25,Saúde,PIX DROGARIA LOCAL,-146
2025-07-27,Alimentação,SUPERMERCADO LOCAL,-24.9
2025-07-28,Alimentação,CASAS PEDRO,-42.57
2025-07-28,Lazer e compras,NETFLIX.COM,-44.9
2025-07-29,Alimentação,RESTAURANTE LOCAL,-95.31
2025-07-29,Lazer e compras,MERCADOLIVRE*JVCOMERCI,-37.7
2025-07-29,Transporte,UBER*PENDING,-44.16
2025-07-30,Lazer e compras,SHOPEE  *DLHOME,-47
2025-07-30,Saúde,DROGARIA CRISTAL,-24
2025-07-31,Alimentação,SUPERMERCADO LOCAL,-114.62
2025-07-31,Receita,CREDITO SALARIO,8327.39
2025-07-31,Transporte,UBER *PENDING,-17.94
2025-08-01,Alimentação,IFD*COZENDEI CARNEVALE CO,-30.17
2025-08-01,Educação,EBN *CAMBLY,-69
2025-08-01,Lazer e compras,SHOPEE *GAMERHUT,-73.73
2025-08-01,Saúde,PIX DROGARIA LOCAL,-7
2025-08-03,Moradia,PIX QRS *CEG,-70.18
2025-08-03,Transporte,UBER *PENDING,-36.99
2025-08-04,Alimentação,PANIF UNIAO LTDA,-14.68
2025-08-04,Lazer e compras,SHOPEE *GAMERHUT,-73.72
2025-08-04,Transporte,UBER*PENDING,-38.97
2025-08-05,Alimentação,SUPERMERCADO LOCAL,-73.36
2025-08-05,Moradia,PIX QRS TELEFONICA,-150
2025-08-05,Transporte,PIX QRS CBD BILHETE,-100
