Genre	Global_Sales
Puzzle	2.4
Fighting	2.4
Strategy	2.4
Adventure	2.39
Racing	2.39
Sports	2.39
Action	2.39
Misc	2.39
Action	2.39
Action	2.39
Misc	2.38
Action	2.38
Misc	2.38
Fighting	2.38
Action	2.38
Sports	2.38
Sports	2.38
Misc	2.38
Sports	2.37
Shooter	2.37
Action	2.37
Sports	2.37
Sports	2.37
Sports	2.36
Platform	2.36
Action	2.35
Platform	2.35
Role-Playing	2.35
Racing	2.35
Platform	2.34
Fighting	2.34
Sports	2.34
Action	2.34
Simulation	2.33
Action	2.32
Sports	2.32
Misc	2.32
Sports	2.32
Action	2.32
Shooter	2.31
Puzzle	2.31
Racing	2.31
Role-Playing	2.31
Sports	2.31
Action	2.3
Action	2.3
Role-Playing	2.3
Action	2.29
Action	2.29
Action	2.29
Racing	2.28
Sports	2.28
Misc	2.28
Action	2.28
Platform	2.28
Sports	2.28
Action	2.28
Shooter	2.28
Racing	2.28
Role-Playing	2.27
Misc	2.27
Misc	2.27
Platform	2.27
Platform	2.26
Misc	2.26
Shooter	2.26
Action	2.26
Misc	2.25
Adventure	2.25
Sports	2.25
Role-Playing	2.25
Sports	2.25
Role-Playing	2.25
Fighting	2.25
Platform	2.24
Platform	2.23
Action	2.23
Action	2.23
Simulation	2.23
Platform	2.22
Action	2.22
Puzzle	2.22
Adventure	2.22
Racing	2.22
Shooter	2.21
Action	2.21
Action	2.21
Misc	2.2
Action	2.2
Misc	2.2
Platform	2.2
Sports	2.2
Platform	2.2
Puzzle	2.2
Action	2.19
Action	2.19
Role-Playing	2.19
Misc	2.19
Platform	2.19
Action	2.19
Role-Playing	2.18
Racing	2.18
Racing	2.18
Sports	2.18
Role-Playing	2.18
Role-Playing	2.17
Role-Playing	2.17
Simulation	2.17
Sports	2.17
Simulation	2.16
Sports	2.16
Shooter	2.15
Shooter	2.15
Sports	2.15
Sports	2.15
Shooter	2.14
Role-Playing	2.14
Misc	2.14
Racing	2.14
Simulation	2.14
Shooter	2.13
Simulation	2.13
Puzzle	2.13
Role-Playing	2.13
Action	2.13
Action	2.12
Role-Playing	2.12
Platform	2.12
Racing	2.12
Sports	2.12
Sports	2.11
Shooter	2.11
Sports	2.11
Sports	2.11
Racing	2.11
Sports	2.11
Misc	2.11
Action	2.11
Fighting	2.11
Role-Playing	2.1
Platform	2.1
Action	2.1
Racing	2.1
Shooter	2.1
Action	2.09
Sports	2.09
Action	2.09
Action	2.09
Action	2.09
Misc	2.09
Simulation	2.09
Shooter	2.09
Action	2.09
Role-Playing	2.08
Puzzle	2.08
Racing	2.08
Simulation	2.08
Misc	2.08
Action	2.08
Strategy	2.08
Strategy	2.08
Sports	2.08
Shooter	2.07
Role-Playing	2.07
Fighting	2.07
Role-Playing	2.07
Strategy	2.07
Racing	2.06
Simulation	2.06
Action	2.06
Role-Playing	2.06
Action	2.06
Racing	2.06
Fighting	2.06
Role-Playing	2.06
Racing	2.05
Misc	2.05
Sports	2.05
Role-Playing	2.05
Misc	2.05
Role-Playing	2.05
Sports	2.05
Racing	2.05
Role-Playing	2.04
Misc	2.04
Misc	2.04
Shooter	2.04
Action	2.04
Platform	2.04
Action	2.04
Sports	2.03
Sports	2.03
Misc	2.03
Sports	2.03
Action	2.02
Shooter	2.02
Sports	2.02
Racing	2.02
Puzzle	2.01
Shooter	2.01
Action	2
Role-Playing	2
Racing	2
Fighting	2
Fighting	2
Action	1.99
Sports	1.99
Action	1.99
Action	1.98
Simulation	1.98
Shooter	1.98
Shooter	1.98
Role-Playing	1.97
Platform	1.97
Platform	1.97
Shooter	1.97
Action	1.97
Racing	1.97
Action	1.97
Shooter	1.96
Sports	1.96
Racing	1.96
Sports	1.96
Platform	1.96
Shooter	1.96
Shooter	1.95
Racing	1.95
Action	1.95
Shooter	1.95
Sports	1.95
Fighting	1.94
Sports	1.94
Misc	1.94
Adventure	1.94
Puzzle	1.94
Fighting	1.94
Racing	1.94
Shooter	1.94
Role-Playing	1.93
Action	1.93
Misc	1.93
Fighting	1.93
Fighting	1.93
Puzzle	1.93
Fighting	1.93
Action	1.93
Sports	1.93
Action	1.92
Action	1.92
Racing	1.92
Misc	1.92
Shooter	1.92
Simulation	1.92
Racing	1.92
Misc	1.92
Misc	1.92
Misc	1.91
Action	1.91
Misc	1.91
Shooter	1.91
Action	1.91
Simulation	1.9
Shooter	1.9
Racing	1.89
Sports	1.89
Role-Playing	1.89
Platform	1.88
Role-Playing	1.88
Fighting	1.88
Sports	1.88
Shooter	1.88
Fighting	1.88
Misc	1.87
Adventure	1.87
Sports	1.87
Action	1.87
Platform	1.87
Adventure	1.86
Sports	1.86
Platform	1.86
Role-Playing	1.86
Platform	1.86
Misc	1.86
Platform	1.86
Sports	1.86
Action	1.86
Role-Playing	1.86
Action	1.86
Misc	1.85
Platform	1.85
Misc	1.85
Role-Playing	1.85
Action	1.85
Action	1.85
Racing	1.84
Role-Playing	1.84
Sports	1.84
Simulation	1.83
Misc	1.83
Role-Playing	1.83
Racing	1.83
Action	1.83
Role-Playing	1.83
Shooter	1.83
Simulation	1.83
Platform	1.82
Platform	1.82
Misc	1.82
Simulation	1.82
Shooter	1.82
Role-Playing	1.81
Action	1.81
Simulation	1.81
Racing	1.81
Fighting	1.81
Platform	1.81
Misc	1.8
Platform	1.8
Sports	1.8
Action	1.8
Sports	1.8
Shooter	1.79
Platform	1.79
Adventure	1.79
Action	1.78
Racing	1.78
Role-Playing	1.78
Action	1.78
Action	1.78
Puzzle	1.78
Action	1.78
Role-Playing	1.78
Action	1.77
Action	1.77
Misc	1.77
Misc	1.77
Sports	1.77
Role-Playing	1.77
Platform	1.77
Fighting	1.77
Fighting	1.77
Adventure	1.76
Fighting	1.76
Platform	1.76
Role-Playing	1.76
Platform	1.76
Platform	1.76
Fighting	1.76
Shooter	1.76
Action	1.76
Shooter	1.76
Action	1.76
Action	1.76
Shooter	1.76
Simulation	1.76
Sports	1.76
Simulation	1.76
Sports	1.75
Role-Playing	1.75
Shooter	1.75
Sports	1.75
Shooter	1.75
Puzzle	1.75
Platform	1.75
Platform	1.75
Simulation	1.75
Simulation	1.75
Misc	1.75
Adventure	1.74
Role-Playing	1.74
Shooter	1.74
Misc	1.74
Racing	1.74
Platform	1.74
Racing	1.74
Sports	1.74
Role-Playing	1.74
Shooter	1.74
Shooter	1.73
Sports	1.73
Shooter	1.73
Action	1.73
Action	1.73
Action	1.73
Platform	1.73
Action	1.73
Action	1.72
Shooter	1.72
Role-Playing	1.72
Shooter	1.72
Simulation	1.72
Shooter	1.72
Sports	1.72
Role-Playing	1.72
Simulation	1.71
Puzzle	1.71
Platform	1.71
Misc	1.71
Simulation	1.71
Racing	1.71
Misc	1.71
Puzzle	1.71
Sports	1.7
Racing	1.7
Sports	1.7
Sports	1.7
Puzzle	1.7
Platform	1.7
Puzzle	1.7
Action	1.7
Sports	1.7
Shooter	1.69
Sports	1.69
Action	1.69
Action	1.69
Misc	1.69
Role-Playing	1.69
Sports	1.69
Fighting	1.69
Fighting	1.69
Action	1.69
Racing	1.69
Role-Playing	1.69
Strategy	1.69
Action	1.69
Action	1.69
Shooter	1.68
Misc	1.68
Sports	1.68
Action	1.68
Puzzle	1.68
Shooter	1.68
Simulation	1.68
Action	1.68
Simulation	1.68
Action	1.68
Sports	1.67
Sports	1.67
Sports	1.67
Sports	1.67
Fighting	1.67
Platform	1.67
Shooter	1.67
Platform	1.67
Sports	1.67
Adventure	1.67
Strategy	1.67
Racing	1.67
Racing	1.67
Sports	1.67
Platform	1.67
Action	1.66
Action	1.66
Fighting	1.66
Sports	1.66
Shooter	1.66
Sports	1.66
Racing	1.66
Sports	1.66
Fighting	1.66
Puzzle	1.65
Misc	1.65
Shooter	1.65
Misc	1.65
Role-Playing	1.65
Shooter	1.65
Role-Playing	1.64
Platform	1.64
Action	1.64
Puzzle	1.64
Shooter	1.64
Action	1.64
Sports	1.64
Sports	1.64
Action	1.64
Simulation	1.64
Adventure	1.64
Sports	1.63
Simulation	1.63
Strategy	1.63
Shooter	1.63
Platform	1.63
Sports	1.63
Platform	1.63
Sports	1.63
Sports	1.62
Action	1.62
Misc	1.62
Sports	1.62
Shooter	1.62
Sports	1.62
Racing	1.62
Racing	1.62
Role-Playing	1.61
Sports	1.61
Shooter	1.61
Sports	1.61
Strategy	1.61
Sports	1.61
Misc	1.61
Action	1.61
Shooter	1.61
Simulation	1.6
Misc	1.6
Action	1.6
Action	1.6
Racing	1.6
Shooter	1.6
Action	1.6
Role-Playing	1.6
Action	1.6
Platform	1.6
Sports	1.59
Role-Playing	1.59
Action	1.59
Fighting	1.59
Action	1.59
Platform	1.59
Sports	1.59
Fighting	1.59
Action	1.59
Racing	1.59
Shooter	1.58
Sports	1.58
Misc	1.58
Simulation	1.58
Misc	1.58
Racing	1.58
Misc	1.58
Misc	1.58
Action	1.58
Action	1.58
Role-Playing	1.58
Platform	1.58
Sports	1.57
Sports	1.57
Shooter	1.57
Misc	1.57
Sports	1.56
Racing	1.56
Fighting	1.56
Platform	1.56
Action	1.56
Role-Playing	1.56
Action	1.56
Role-Playing	1.56
Misc	1.56
Action	1.56
Action	1.55
Action	1.55
Racing	1.55
Shooter	1.55
Sports	1.55
Shooter	1.55
Action	1.55
Action	1.55
Action	1.55
Action	1.55
Role-Playing	1.55
Strategy	1.55
Strategy	1.55
Misc	1.55
Action	1.54
Action	1.54
Role-Playing	1.54
Role-Playing	1.54
Strategy	1.54
Shooter	1.54
Adventure	1.54
Sports	1.54
Shooter	1.54
Shooter	1.53
Fighting	1.53
Simulation	1.53
Action	1.53
Fighting	1.53
Sports	1.53
Shooter	1.53
Sports	1.53
Sports	1.53
Sports	1.53
Platform	1.52
Shooter	1.52
Racing	1.52
Fighting	1.52
Sports	1.52
Racing	1.52
Racing	1.52
Shooter	1.52
Racing	1.52
Sports	1.52
Action	1.52
Shooter	1.52
Puzzle	1.52
Action	1.51
Sports	1.51
Racing	1.51
Action	1.51
Sports	1.51
Role-Playing	1.51
Action	1.51
Fighting	1.51
Sports	1.51
Action	1.51
Misc	1.51
Fighting	1.5
Shooter	1.5
Racing	1.5
Role-Playing	1.5
Sports	1.5
Shooter	1.5
Puzzle	1.5
Sports	1.5
Fighting	1.5
Platform	1.5
Platform	1.5
Platform	1.5
Action	1.5
Misc	1.5
Action	1.5
Misc	1.49
Role-Playing	1.49
Shooter	1.49
Sports	1.49
Adventure	1.49
Platform	1.49
Misc	1.49
Action	1.49
Simulation	1.49
Sports	1.48
Adventure	1.48
Shooter	1.48
Sports	1.48
Fighting	1.48
Platform	1.48
Role-Playing	1.48
Sports	1.48
Fighting	1.48
Action	1.48
Simulation	1.47
Action	1.47
Fighting	1.47
Action	1.47
Platform	1.47
Fighting	1.47
Action	1.47
Role-Playing	1.47
Action	1.47
Shooter	1.47
Adventure	1.47
Platform	1.47
Role-Playing	1.46
Platform	1.46
Shooter	1.46
Shooter	1.46
Misc	1.46
Platform	1.46
Sports	1.46
Shooter	1.46
Puzzle	1.46
Platform	1.46
Fighting	1.46
Sports	1.46
Role-Playing	1.46
Action	1.46
Action	1.46
Fighting	1.46
Fighting	1.46
Platform	1.46
Action	1.45
Role-Playing	1.45
Action	1.45
Shooter	1.45
Shooter	1.45
Strategy	1.45
Action	1.45
Misc	1.45
Simulation	1.45
Misc	1.45
Fighting	1.45
Simulation	1.45
Misc	1.45
Puzzle	1.45
Role-Playing	1.45
Sports	1.45
Misc	1.45
Misc	1.44
Misc	1.44
Racing	1.44
Simulation	1.44
Platform	1.44
Shooter	1.44
Fighting	1.44
Racing	1.44
Misc	1.44
Racing	1.44
Sports	1.44
Shooter	1.44
Sports	1.44
Action	1.43
Action	1.43
Action	1.43
Misc	1.43
Sports	1.43
Platform	1.43
Platform	1.43
Sports	1.43
Role-Playing	1.42
Sports	1.42
Fighting	1.42
Sports	1.42
Action	1.42
Sports	1.42
Platform	1.42
Action	1.42
Sports	1.42
Action	1.42
Action	1.42
Role-Playing	1.42
Action	1.41
Action	1.41
Action	1.41
Fighting	1.41
Action	1.41
Fighting	1.41
Sports	1.41
Platform	1.41
Racing	1.41
Action	1.41
Fighting	1.41
Racing	1.41
Racing	1.41
Racing	1.41
Shooter	1.4
Action	1.4
Racing	1.4
Sports	1.4
Action	1.4
Platform	1.4
Role-Playing	1.4
Shooter	1.4
Racing	1.4
Sports	1.39
Shooter	1.39
Role-Playing	1.39
Action	1.39
Shooter	1.39
Sports	1.39
Action	1.39
Action	1.39
Action	1.39
Action	1.39
Shooter	1.39
Action	1.38
Simulation	1.38
Role-Playing	1.38
Role-Playing	1.38
Shooter	1.38
Shooter	1.38
Role-Playing	1.38
Action	1.38
Misc	1.38
Adventure	1.38
Puzzle	1.38
Sports	1.38
Action	1.38
Action	1.37
Action	1.37
Racing	1.37
Misc	1.37
Racing	1.37
Racing	1.37
Platform	1.37
Role-Playing	1.37
Action	1.37
Strategy	1.37
Sports	1.36
Shooter	1.36
Platform	1.36
Racing	1.36
Misc	1.36
Shooter	1.36
Role-Playing	1.36
Shooter	1.36
Platform	1.36
Action	1.36
Shooter	1.36
Action	1.36
Fighting	1.35
Simulation	1.35
Racing	1.35
Sports	1.35
Sports	1.35
Misc	1.35
Sports	1.35
Action	1.35
Action	1.35
Shooter	1.35
Fighting	1.35
Action	1.35
Racing	1.35
Action	1.35
Shooter	1.35
Role-Playing	1.35
Action	1.35
Role-Playing	1.35
Misc	1.35
Sports	1.35
Adventure	1.35
Racing	1.34
Role-Playing	1.34
Shooter	1.34
Fighting	1.34
Shooter	1.34
Platform	1.34
Racing	1.34
Shooter	1.34
Strategy	1.34
Sports	1.34
Fighting	1.33
Platform	1.33
Sports	1.33
Shooter	1.33
Platform	1.33
Sports	1.33
Action	1.33
Fighting	1.33
Sports	1.33
Simulation	1.33
Sports	1.33
Shooter	1.33
Fighting	1.33
Role-Playing	1.33
Racing	1.33
Simulation	1.33
Role-Playing	1.33
Action	1.32
Racing	1.32
Action	1.32
Role-Playing	1.32
Role-Playing	1.32
Role-Playing	1.32
Action	1.32
Racing	1.32
Puzzle	1.32
Sports	1.32
Fighting	1.32
Role-Playing	1.32
Shooter	1.32
Sports	1.32
Racing	1.32
Action	1.32
Action	1.32
Racing	1.31
Racing	1.31
Misc	1.31
Fighting	1.31
Action	1.31
Misc	1.31
Platform	1.31
Adventure	1.31
Strategy	1.31
Platform	1.31
Shooter	1.31
Misc	1.31
Sports	1.31
Racing	1.31
Adventure	1.3
Role-Playing	1.3
Action	1.3
Sports	1.3
Action	1.3
Misc	1.3
Sports	1.3
Racing	1.3
Role-Playing	1.3
Sports	1.3
Role-Playing	1.3
Adventure	1.3
Racing	1.29
Platform	1.29
Role-Playing	1.29
Sports	1.29
Action	1.29
Racing	1.29
Shooter	1.29
Platform	1.29
Shooter	1.29
Misc	1.29
Adventure	1.29
Role-Playing	1.29
Racing	1.29
Role-Playing	1.28
Action	1.28
Simulation	1.28
Action	1.28
Misc	1.28
Action	1.28
Action	1.28
Action	1.28
Racing	1.28
Action	1.28
Action	1.28
Action	1.28
Action	1.27
Platform	1.27
Simulation	1.27
Action	1.27
Racing	1.27
Role-Playing	1.27
Shooter	1.27
Sports	1.27
Fighting	1.27
Sports	1.27
Shooter	1.27
Role-Playing	1.27
Sports	1.27
Role-Playing	1.27
Sports	1.27
Platform	1.27
Action	1.27
Fighting	1.27
Action	1.27
Action	1.26
Simulation	1.26
Sports	1.26
Puzzle	1.26
Simulation	1.26
Action	1.26
Racing	1.26
Sports	1.26
Sports	1.26
Action	1.26
Misc	1.26
Action	1.26
Sports	1.26
Shooter	1.25
Sports	1.25
Action	1.25
Action	1.25
Shooter	1.25
Role-Playing	1.25
Role-Playing	1.25
Sports	1.25
Fighting	1.25
Role-Playing	1.25
Shooter	1.25
Strategy	1.25
Action	1.25
Action	1.25
Racing	1.25
Shooter	1.24
Role-Playing	1.24
Action	1.24
Role-Playing	1.24
Racing	1.24
Action	1.24
Action	1.24
Platform	1.24
Role-Playing	1.24
Action	1.24
Fighting	1.24
Puzzle	1.24
Action	1.24
Action	1.23
Platform	1.23
Sports	1.23
Action	1.23
Platform	1.23
Racing	1.23
Misc	1.23
Simulation	1.23
Misc	1.23
Shooter	1.23
Puzzle	1.23
Platform	1.23
Racing	1.23
Platform	1.23
Platform	1.23
Action	1.23
Puzzle	1.23
Shooter	1.23
Sports	1.23
Puzzle	1.23
Role-Playing	1.23
Simulation	1.23
Action	1.22
Fighting	1.22
Sports	1.22
Puzzle	1.22
Misc	1.22
Misc	1.22
Puzzle	1.22
Adventure	1.22
Racing	1.22
Racing	1.22
Sports	1.22
Role-Playing	1.22
Role-Playing	1.22
Simulation	1.22
Shooter	1.22
Fighting	1.22
Sports	1.22
Racing	1.22
Fighting	1.22
Racing	1.21
Misc	1.21
Shooter	1.21
Sports	1.21
Platform	1.21
Action	1.21
Platform	1.21
Role-Playing	1.21
Action	1.21
Action	1.21
Racing	1.21
